Dia;Mes;Ano;Clasificacion;Asunto ;Descripcion;Gasto;Ingreso
10;Agosto;2017;Ocio;Comida/Cena;Quebap Carcaixent ;6.00  ;0
11;Agosto;2017;Ocio;Material Soft combat;Escudo y lanza;30.00  ;0
17;Agosto;2017;Ocio;Comida/Cena;Pans Carcaixent ;15.00  ;0
23;Agosto;2017;Ocio;Comida/Cena;menú doble burger king;3.00  ;0
17;Agosto;2017;Ocio;Comida/Cena;menú chinos;6.00  ;0
30;Agosto;2017;Ocio;Comida/Cena;Burguer nuevo;6.00  ;0
31;Agosto;2017;Ocio;Comida/Cena;Pans;6.00  ;0
31;Agosto;2017;Caprichos;Rebajas;Pack TotalWar Edition;27.49  ;0
1;Septiembre;2017;Salario;Pension;Pension de David;0;250.00  
1;Septiembre;2017;Vivienda;Alquiler;Piso de Alex Ye en Bilbao ;325.00  ;325.00  
3;Septiembre;2017;Transporte;BilmanBus;ida Valencia por verano;27.36  ;0
10;Septiembre;2017;Ocio;Comida/Cena;Pizza dominos;8.50  ;0
11;Septiembre;2017;Gastos;Compra Semanal ;Mercadona;23.28  ;0
12;Septiembre;2017;Gastos;Compra Semanal ;Erosky;13.93  ;0
13;Septiembre;2017;Estudios;Matricula Universidad ;Primer plazo Segundo curso Ingeneria informatica;282.68  ;0
13;Septiembre;2017;Gastos;Compra Semanal ;Mercadona;13.61  ;0
27;Septiembre;2017;Caprichos;Rebajas;Pack PortRoyale Edition;5.99  ;0
1;Octubre;2017;Salario;Pension;Pension de David;0;200.00  
1;Octubre;2017;Vivienda;Alquiler;Piso de Alex Ye en Bilbao ;325.00  ;325.00  
2;Octubre;2017;Gastos;Compra Semanal ;Erosky;15.58  ;0
10;Octubre;2017;Caprichos;Steam;Civilizations V & DLCs;8.70  ;0
10;Octubre;2017;Caprichos;Steam;Skyrim & DLCs;7.99  ;0
13;Octubre;2017;Ocio;BarUni;Bocadillo jamaica;3.55  ;0
14;Octubre;2017;Transporte;BonoMetro;Recarga Barick;10.00  ;0
17;Octubre;2017;Gastos;Compra Semanal ;Mercadona;19.19  ;0
17;Octubre;2017;Gastos;Compra Semanal ;Erosky;11.10  ;0
29;Octubre;2017;Caprichos;Steam;Praetorians;0.75  ;0
31;Octubre;2017;Gastos;Compra Semanal ;Erosky;11.85  ;0
1;Noviembre;2017;Salario;Pension;Pension de David;0;200.00  
1;Noviembre;2017;Vivienda;Alquiler;Piso de Alex Ye en Bilbao ;325.00  ;325.00  
4;Noviembre;2017;Caprichos;IG;Galactic Civilizations III;1.01  ;0
4;Noviembre;2017;Caprichos;IG;Stronhold Crusaders II;1.42  ;0
9;Noviembre;2017;Gastos;Compra Semanal ;Mercadona;22.22  ;0
14;Noviembre;2017;Gastos;Compra Semanal ;Erosky;10.57  ;0
21;Noviembre;2017;Gastos;Compra Semanal ;Mercadona;15.39  ;0
23;Noviembre;2017;Gastos;Compra Semanal ;Xino - papel bater;5.00  ;0
23;Noviembre;2017;Caprichos;Steam;Age Of Empires Legacy;17.81  ;0
23;Noviembre;2017;Caprichos;G2A;Crusader Kings II;4.16  ;0
27;Noviembre;2017;Ocio;Comida/Cena;Pizza dominos;14.50  ;0
1;Diciembre;2017;Salario;Pension;Pension de David;0;200.00  
1;Diciembre;2017;Vivienda;Alquiler;Piso de Alex Ye en Bilbao ;325.00  ;325.00  
3;Diciembre;2017;Caprichos;G2A;Crusader Kings II DLCs VIPs;21.10  ;0
4;Diciembre;2017;Caprichos;G2A;Crusader Kings II DLCs Culturas;13.36  ;0
5;Diciembre;2017;Gastos;Compra Semanal ;Mercadona;18.09  ;0
8;Diciembre;2017;Caprichos;Humble Dumble;Yogscast Jingle Jam 2017!;30.78  ;0
8;Diciembre;2017;Transporte;BilmanBus;ida Valencia por Navidad;34.19  ;0
11;Diciembre;2017;Caprichos;G2A;CK2 Otros DLCs y SpellForce II;12.68  ;0
13;Diciembre;2017;Gastos;Compra Semanal ;Mercadona;12.62  ;0
17;Diciembre;2017;Transporte;BonoMetro;Recarga Barick;10.00  ;0
19;Diciembre;2017;Estudios;Matricula Universidad ;Segundo plazo Segundo curso Ingeneria informatica;251.57  ;0
22;Diciembre;2017;Gastos;Provisiones Biaje;Mercadona;2.55  ;0
24;Diciembre;2017;Ocio;Soft;Materiales armas soft;7.50  ;5.00  
24;Diciembre;2017;Regalos;Regalo Sstella;Viaje aventura Regalo Sstella;44.99  ;0
25;Diciembre;2017;Regalos;Estrenas Abuela;Estrenas Abuela;0;140.00  
25;Diciembre;2017;Regalos;Estrenas Tio pablo;Estrenas Tio pablo;0;50.00  
25;Diciembre;2017;Regalos;Estrenas Papa;Estrenas Papa;0;120.00  
25;Diciembre;2017;Caprichos;Instant Gaming;Cities Skylines;4.91  ;0
26;Diciembre;2017;Regalos;Regalo Mama;Viaje Tour pueblos Regalo Mama;53.32  ;33.33  
26;Diciembre;2017;Ocio;Soft;Materiales armas soft;2.49  ;0
27;Diciembre;2017;Gastos;Peluqueria ;Corte de pelo ;10.00  ;10.00  
